"Код 
исследования",Наименование исследования,Используемый  материал,Результат исследования,Срок* (рабочие дни) ,Возможность срочного выполнения,Цена,Описание,Подготовка,Клиническая информация,Интерпритация результатов
,Гормональный для мужчин - расширенный профиль,,,,,,,,,
"93,825","Тестостерон свободный, Пролактин, ЛГ, ФСГ, ТТГ",кровь (сыворотка),кол,5,,"1250,00",,,,
,Онкологический профиль для мужчин - базовый,,,,,,,,,
"93,826"," Раково-эмбриональный антиген, СА 19-9, Простатический специфический антиген общий, Альфа-фетопротеин",кровь (сыворотка),кол,1,,"2600,00",,,,
,Онкологический профиль для мужчин - расширенный,,,,,,,,,
"93,827","СА 72-4, Раково-эмбриональный антиген, СА 19-9, Простатический специфический антиген общий, Альфа-фетопротеин, Общий  β-хорионический гонадотропин",кровь (сыворотка),кол,4,,"3800,00",,,,
,TORCH-комплекс - расширенный профиль,,,,,,,,,
"93,828","Антитела IgM к цитомегаловирусу (Anti-CMV IgM), Антитела IgМ к Toxoplasma gondii, Антитела IgG к Toxoplasma gondii, Антитела IgG к цитомегаловирусу (Anti-CMV IgG), Антитела IgG к вирусу краснухи (Anti-Rubella IgG), Антитела IgM к вирусу краснухи (Anti-Rubella IgM), Антитела IgM к Chlamydia trachomatis, Антитела IgG к Chlamydia trachomatis, Антитела IgM к вирусу простого герпеса 1 и 2 типов (Anti-HSV-1,2 IgM), Антитела IgG к вирусу простого герпеса 1 и 2 типа (Anti-HSV-1,2 IgG)",кровь (сыворотка) - 2 пробирки,кач,6,,"5800,00",,,,
,"Инфекции, передающиеся половым путем",,,,,,,,,
"93,829",   ,кровь (сыворотка) - 2 пробирки,кач,8,,"5200,00",,,,
,Комплексная оценка иммунитета - базовый профиль,,,,,,,,,
"93,830","Лимфоциты относительное количество, Лимфоциты абсолютное количество, Нейтрофилы относительное количество, Нейтрофилы абсолютное количество, CD3+ (Т-лимфоциты) относительное количество, CD3+ (Т-лимфоциты) абсолютное количество, CD4+/CD3+ (Т-хелперы) относительное количество, CD4+/CD3+  (Т-хелперы) абсолютное количество, CD8+/CD3+ (ЦТЛ) относительное количество, CD8+/CD3+ (ЦТЛ) абсолютное количество, CD4/CD8, CD16+ относительное количество, CD16+абсолютное количество, CD20+ (В-лимфоциты) относительное количество, CD20+ (В-лимфоциты) абсолютное количество, CD56+ (NK-клетки) NCAM  относительное количество, CD56+ (NK-клетки) NCAM абсолютное количество, CD19+ (B-лимфоциты) относительное количество, CD19+ (B-лимфоциты) абсолютное количество, Лейкоциты общее количество, Циркулирующие иммунные комплексы - IgG к C1q, C3 компонент комплемента, C4 компонент комплемента",3 пробирки: кровь с гепарином + цельная кровь (ЭДТА) + кровь (сыворотка),кол,5,,"15000,00",,,,
,Комплексная оценка иммунитета - расширенный профиль,,,,,,,,,
"93,831","НСТ-тест, Лимфоциты относительное количество, Лимфоциты абсолютное количество, Нейтрофилы относительное количество, Нейтрофилы абсолютное количество, CD3+ (Т-лимфоциты) относительное количество, CD3+ (Т-лимфоциты) абсолютное количество, CD4+/CD3+ (Т-хелперы) относительное количество, CD4+/CD3+  (Т-хелперы) абсолютное количество, CD8+/CD3+ (ЦТЛ) относительное количество, CD8+/CD3+ (ЦТЛ) абсолютное количество, CD4/CD8, CD16+ относительное количество, CD16+абсолютное количество, CD20+ (В-лимфоциты) относительное количество,  CD20+ (В-лимфоциты) абсолютное количество, CD56+ (NK-клетки) NCAM  относительное количество, CD56+ (NK-клетки) NCAM абсолютное количество, Нейтрофильный фагоцитоз (латекс-тест), CD19+ (B-лимфоциты) относительное количество, CD19+ (B-лимфоциты) абсолютное количество, Лейкоциты общее количество, Циркулирующие иммунные комплексы - IgG к C1q, C3 компонент комплемента, C4 компонент комплемента",3 пробирки: кровь с гепарином + цельная кровь (ЭДТА) + кровь (сыворотка),кол,5,,"7800,00",,,,
,Исследование микробиома человека методом ГХ-МС,,,,,,,,,
"93,833",Исследование микробиома человека методом ГХ-МС,цельная кровь (ЭДТА) ,заключение,6,,"6600,00",,,,
,"Исследование микробиома человека методом ГХ-МС (биотоп просветная микробиота ""Толстая кишка"")",,,,,,,,,
"93,834","Исследование микробиома человека методом ГХ-МС (биотоп просветная микробиота ""Толстая кишка"")",кал,заключение,7,,"7800,00",,,,
,"Колонофлор-16, оценка биоценоза толстого кишечника (кал)",,,,,,,,,
"93,837","Колонофлор-16, оценка биоценоза толстого кишечника (кал)",кал,заключение,4,,"3950,00",,,,
,Check-Up,,,,,,,,,
"93,850","""Check - Up"" (Клинический анализ крови , ОАМ, глюкоза, энтеробиоз, общ. белок, креатинин , мочевина, мочевая кислота, щелочная фосфатаза, АЛТ,АСТ, билирубин непрямой, ГГТ, холестерин общ)","3 пробирки: кровь (сыворотка), кровь (фторид натрия), цельная кровь (ЭДТА) + моча + кал",кол,1,,"2800,00",,,,
,Check-Up Beauty,,,,,,,,,
"93,851","Лейкоцитарная формула (микроскопия), Общий анализ крови, СОЭ (автоматизированный метод), Подсчет ретикулоцитов (автоматизированный метод), Общий анализ мочи, Гликированный гемоглобин, Протромбиновое время, Протромбиновый индекс + МНО, Фибриноген, Глюкоза, Альбумин, Щелочная фосфатаза, Холестерин общий, Холестерин-ЛПНП (липопротеинов низкой плотности) *, Билирубин общий, Билирубин прямой, АЛТ (аланиновая трансаминаза), АСТ (аспарагиновая трансаминаза), ГГТП (гамма-глутамилтранспептидаза), ЛДГ (Лактатдегидрогеназа), C-реактивный белок (ультрачувствительный)-Olympus, Общий  белок , Креатинкиназа-МВ, Натрий, Хлор, Инсулин , C-пептид (Immulite), Латентная железосвязывающая способность, Ферритин (OLYMPUS), Трансферрин, Тропонин i (Immulite), Псевдохолинэстераза (холинэстераза), Калий, Белковые фракции методом электрофореза, Витамин В12, Антитела к инсулину, Антитела к бета-клеткам поджелудочной железы, Тиреотропный гормон (ТТГ), Железо (Olympus), Витамин В9 (Фолиевая  кислота), Альфа-фетопротеин, Витамин А (ретинол), Витамин С (аскорбиновая к-та), Витамин В1 (тиамин), Витамин В2 (рибофлавин), Витамин В3 (ниацин, никотиновая кислота), Витамин В6 (пиридоксин), Хром, Селен, Cu (медь), D2 (Эргокальциферол), D3 (Холекальциферол), Zn (цинк), Омега-3 индекс, Гомоцистеин "," кровь (сыворотка)-3 пробирки + кровь (плазма-цитрат) + кровь (фторид натрия), цельная кровь (ЭДТА) - 3 пробирки + моча + кровь с апротинином",кол/кач,8,,"26400,00",,,,
,Скрининг-обследование по Приказу МЗ РФ № 1130н,,,,,,,,,
"93,852","Лейкоцитарная формула (микроскопия), Общий анализ крови, СОЭ (автоматизированный метод), Группа крови, Резус фактор, Поверхностный антиген S вируса гепатита В (HВsAg), Антитела суммарные к вирусу гепатита С (Anti-HCV сумм.) , Антитела к Treponema pallidum (суммарные) ИФА, Антитела к вирусу иммунодефицита человека типов 1 и 2 + антиген р 24 (Anti-HIV-1,2+p 24)(ИФА),  Общеклиническое исследование отделяемого мочеполовых органов (клеточный состав микрофлора) 3 точки.","цельная кровь (ЭДТА) - 2 пробирки, + кровь (сыворотка), + мазок (3 точки, предметное стекло) из уретры, цервикального канала, влагалища",кол/заключение,1,,"2540,00",,,,
,Скрининг-обследование по Приказу МЗ РФ № 1130н,,,,,,,,,
"93,853","Лейкоцитарная формула (микроскопия), Общий анализ крови, СОЭ (автоматизированный метод), Группа крови, Резус фактор, Поверхностный антиген S вируса гепатита В (HВsAg), Антитела суммарные к вирусу гепатита С (Anti-HCV сумм.) , Антитела к Treponema pallidum (суммарные) ИФА, Антитела к вирусу иммунодефицита человека типов 1 и 2 + антиген р 24 (Anti-HIV-1,2+p 24)(ИФА), Протромбиновое время, Протромбиновый индекс + МНО, Фибриноген,  АЧТВ, Агрегация тромбоцитов, Глюкоза,  Креатинин, Мочевина, Билирубин общий. АЛТ (аланиновая трансаминаза), АСТ (аспарагиновая трансаминаза), Общий  белок. Общеклиническое исследование отделяемого мочеполовых органов (клеточный состав микрофлора) 3 точки. ","цельная кровь (ЭДТА) - 2 пробирки, + кровь (сыворотка)- 2 пробирки  + кровь (плазма-цитрат) - 3 пробирки + кровь (фторид натрия)  мазок (3 точки, предметное стекло) из уретры, цервикального канала, влагалища",кол/заключение,1,,"4200,00",,,,
,Биохимическое обследование,,,,,,,,,
"93,860","C-реактивный белок (ультрачувствительный)-Olympus, АЛТ (аланиновая трансаминаза), АСТ (аспарагиновая трансаминаза), Альфа-амилаза панкреатическая, Билирубин общий, Билирубин прямой, ГГТП (гамма-глутамилтранспептидаза), Калий, Кальций общий, Креатинин, ЛДГ (Лактат-дегидрогеназа), Мочевина, Натрий, Общий  белок, Хлор, Холестерин общий, Холестерин-ЛПВП (липопротеинов высокой плотности) *, Щелочная фосфатаза.", кровь (сыворотка),кол,1,,"3390,00",,,,
,Гормональное обследование,,,,,,,,,
"93,861","Кортизол, Эстрадиoл, Глобулин, связывающий половые гормоны, Дегидроэпиандростендион-сультфат (ДГЭА-S), Пролактин, Фолликулости-мулирующий гормон (ФСГ), Лютеинизирующий гормон (ЛГ), Прогестерoн, Т3 общий, Т4 общий, Тиреотропный гормон (ТТГ), Адреналин, Норадреналин, Дофамин, Серотонин.",цельная кровь (ЭДТА) +  кровь (сыворотка) - 2 пробирки ,кол,5,,"6840,00",,,,
,Скрининговое обследование для женщин,,,,,,,,,
"93,862","Общеклиническое исследование отделяемого мочеполовых органов (клеточный состав микрофлора) 3 точки; Соскоб шейки матки и/или цервикального канала по Папаниколау - 2 препарата  (PAP тест); ПЦР-12, количественно, ДНК: Candida albicans, Ureaplasma species, Trichomonas vaginalis, Gardnerella vaginalis, Neisseria gonorrhoeae, Chlamydia trachomatis, Herpes simplex virus 1,2 , HPV(ВПЧ ВКР) 16тип, HPV(ВПЧ ВКР) 18тип, Cytomegalovirus, Mycoplasma hominis, Mycoplasma genitalium","Мазок (3 точки, предметное стекло),
Соскоб со слизистой шейки матки и/или цервикального канала (цитологическое исследование),
Соскоб со слизистой влагалища/уретры/ цервикального канала (ПЦР-диагностика)",заключение/кол,3,,"6300,00",,,,
,Гастроэнтерология,,,,,,,,,
,Воздушно-капельные инфекции,,,,,,,,,
"93,900","Комплексный анализ на антитела к коронавирусной инфекции (SARS-CoV-2):  IgM, IgG","кровь (сыворотка), ",полукол,1,,"3200,00",,,,
"93,901","Выявление суммарных иммуноглобулинов к коронавирусу SARS-CoV-2 (IgA, IgG, IgM)","кровь (сыворотка), ",суммарн,1,,"1800,00",,,,
"93,902",Оценка иммунного ответа к новой коронавирусной инфекции SARS-CoV-      ,3 пробирки: кровь (сыворотка) - 1 пробирка + кровь с гепарином- 2 пробирки,полукол,4,,"3100,00",,,,
,МОЛЕКУЛЯРНО-ГЕНЕТИЧЕСКАЯ ДИАГНОСТИКА,,,,,,,,,
,ПРОФИЛИ ГЕНЕТИЧЕСКОГО ИССЛЕДОВАНИЯ,,,,,,,,,
"55,200","«ТОНО-скрин» –профиль генетического исследования «Артериальная гипертензия». Предназначена для выявления генетических полиморфизмов в генах, ассоциированных с предрасположенностью к артериальной гипертензии",цельная кровь (ЭДТА),заключение,15,,"9400,00",,,,
"55,205","«ИБС-скрин» – профиль генетического исследования «Ишемическая болезнь сердца», предназначена для выявления генетических полиморфизмов в генах, ассоциированных с предрасположенностью к ишемической болезни сердца",цельная кровь (ЭДТА),заключение,15,,"8250,00",,,,
"55,210","«ЛИПО-скрин-Б» – профиль генетического исследования «Липидный обмен, базовая панель», предназначена для выявления генетических полиморфизмов в генах, связанных с обменом липидов",цельная кровь (ЭДТА),заключение,15,,"7800,00",,,,
"55,215","ЛИПО-скрин-Д» – профиль генетического исследования «Липидный обмен, дополнительный панель», предназначена для выявления генетических полиморфизмов в генах, связанных с обменом липидов",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"55,220","«ПЛАЗМО-скрин» – профиль генетического исследования «Плазменные факторы системы свертывания крови», предназначена для выявления генетических полиморфизмов в генах, кодирующих плазменные факторы системы свертывания крови",цельная кровь (ЭДТА),заключение,15,,"7500,00",,,,
"55,225","«ТРОМБО-скрин» – профиль генетического исследования «Агрегационные факторы системы свертывания крови», предназначена для выявления генетических полиморфизмов в генах, кодирующих агрегационные факторы системы свертывания крови",цельная кровь (ЭДТА),заключение,15,,"6750,00",,,,
"55,230","«ФОЛАТ-скрин» – профиль генетического исследования «Фолатный цикл», предназначена для выявления генетических полиморфизмов в генах, связанных с фолатным циклом",цельная кровь (ЭДТА),заключение,15,,"8800,00",,,,
"55,240","«BRCA-скрин» – профиль генетического исследования «Рак молочной железы и /или яичников», яичек предназначена для выявления мутаций в генах BRCA1 и BRCA2, ассоциированных с повышенным риском развития рака молочной железы и/или яичников, яичек",цельная кровь (ЭДТА),заключение,15,,"9000,00",,,,
"55,245","«ОСТЕО-скрин» – профиль генетического исследования «Остеопороз», предназначена для выявления генетических полиморфизмов в генах, ассоциированных с предрасположенностью к остеопорозу",цельная кровь (ЭДТА),заключение,15,,"10500,00",,,,
"55,250","«ДИАБЕТ-1-скрин» – профиль генетического исследования «Сахарный диабет 1-го типа», предназначена для выявления генетических полиморфизмов в генах, ассоциированных с предрасположенностью к сахарному диабету 1-го типа",цельная кровь (ЭДТА),заключение,15,,"7500,00",,,,
"55,255","«ДИАБЕТ-2-скрин» – профиль генетического исследования «Сахарный диабет 2-го типа», предназначена для выявления генетических полиморфизмов в генах, ассоциированных с предрасположенностью к сахарному диабету 2-го типа",цельная кровь (ЭДТА),заключение,15,,"7500,00",,,,
"55,260","«ДИАБЕТ-2Д-скрин» – профиль генетического исследования «Сахарный диабет 2-го типа, дополнительный панель», предназначена для выявления генетических полиморфизмов в генах, ассоциированных с предрасположенностью к сахарному диабету 2-го типа",цельная кровь (ЭДТА),заключение,15,,"7500,00",,,,
"55,265","«АДИПО-скрин» – профиль генетического исследования «Ожирение», предназначена для выявления генетических полиморфизмов в генах, ассоциированных с предрасположенностью к ожирению",цельная кровь (ЭДТА),заключение,15,,"7350,00",,,,
"55,270","«КОЛО-скрин» – профиль генетического исследования «Болезнь Крона», предназначена для выявления генетических полиморфизмов в генах, ассоциированных с предрасположенностью к болезни Крона",цельная кровь (ЭДТА),заключение,15,,"6750,00",,,,
"55,275","«ФАРМА-скрин-1» – профиль генетического исследования «I фаза биотрансформации, панель 1», предназначена для выявления генетических полиморфизмов в генах, влияющих на индивидуальные особенности фармакологического ответа",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"55,285","«ФАРМА-скрин-2а» – профиль генетического исследования «II фаза биотрансформации, панель 1», предназначена для выявления генетических полиморфизмов в генах, влияющих на индивидуальные особенности фармакологического ответа",цельная кровь (ЭДТА),заключение,15,,"8250,00",,,,
"55,290","«ФАРМА-скрин-2б» – профиль генетического исследования «II фаза биотрансформации, панель 2», предназначена для выявления генетических полиморфизмов в генах, влияющих на индивидуальные особенности фармакологического ответа",цельная кровь (ЭДТА),заключение,15,,"9000,00",,,,
"55,295","«ФАРМА-скрин-транспорт» – профиль генетического исследования «Транспорт лекарств», предназначена для выявления генетических полиморфизмов в генах, влияющих на индивидуальные особенности фармакологического ответа",цельная кровь (ЭДТА),заключение,15,,"7500,00",,,,
"55,300","«ФАРМА-скрин-Варфарин» – профиль генетического исследования «Варфарин», предназначена для выявления генетических полиморфизмов в генах, влияющих на расчет дозы варфарина",цельная кровь (ЭДТА),заключение,15,,"8250,00",,,,
"55,305","«ФАРМА-скрин-Иматиниб» – профиль генетического исследования «Иматиниб», предназначена для выявления генетических полиморфизмов в генах, ассоциированных с эффективностью терапии иматинибом",цельная кровь (ЭДТА),заключение,15,,"8400,00",,,,
"55,310","«CCR5del32-скрин» – профиль генетического исследования «CCR5del32»  предназначена для выявления делеционного полиморфизма в гене CCR5, влияющего на индивидуальные особенности иммунитета",цельная кровь (ЭДТА),заключение,15,,"4200,00",,,,
"55,315","«СПОРТ-мио-скрин» – панель генетического исследования «Структура мышц», предназначена для выявления генетических полиморфизмов в генах, ассоциированных с индивидуальными морфологическими особенностями мышечной ткани и предрасположенностью к типу физической нагрузки",цельная кровь (ЭДТА),заключение,15,,"6000,00",,,,
"55,320","«СПОРТ-энерго-скрин» – панель генетического исследования «Энергетический обмен», предназначена для выявления генетических полиморфизмов в генах, ассоциированных с индивидуальными особенностями энергетического обмена мышечной ткани и предрасположенностью к типу физической нагрузки",цельная кровь (ЭДТА),заключение,15,,"9000,00",,,,
"55,325","""UGT1F1-скрин""-синдром Жильбера",цельная кровь (ЭДТА),заключение,15,,"3150,00",,,,
"55,330","""IL-28B""- (ген интерлейкина-28B)",цельная кровь (ЭДТА),заключение,7,,"3300,00",,,,
"56,376",Генетический тест на тромбофилии (12 полиморфизмов),цельная кровь (ЭДТА),заключение,6,,"4000,00",,,,
03.040,"Выявление мутаций в генах свертывающий системы (тромбофилия) по 8 параметрам (факторы F13, F2, F5, F7, FGB, ITGA2, ITGB3,SERPINE1",цельная кровь (ЭДТА),заключение,2,,"4500,00",,,,
03.041,"Генетика метаболизма фолатов (гены MTHFR, MTR,MTRR)",цельная кровь (ЭДТА),заключение,2,,"3960,00",,,,
"57,000",Молекулярное исследование мутации гена Jak2 14 экзон и 12 экзон (Янус киназа),цельная кровь (ЭДТА),заключение,15,,"13900,00",,,,
"59,116","Генетический тест на лактазную недостаточность (непереносимость лактозы) методом ПЦР. Ген LCT, полиморфизм c.-13910C>T",цельная кровь (ЭДТА),заключение,7,,"1700,00",,,,
"59,141",Фактор коагуляции II (тромбин) F2: G20210A,цельная кровь (ЭДТА),заключение,6,,"1600,00",,,,
"59,143","Фактор коагуляции V (F5 Фактор Лейдена) F5: Factor V
Leiden (G1691A; Arg506Gln)",цельная кровь (ЭДТА),заключение,6,,"1600,00",,,,
"59,144",Выявление гена RHD плода в крови матери. Резус-фактор плода,цельная кровь (ЭДТА),заключение,14,,"7000,00",,,,
"59,146",Генетическое исследование пола плода (по крови матери),цельная кровь     (CPDA ),заключение,11,,"5000,00",,,,
,ДИАГНОСТИЧЕСКИЕ КОМПЛЕКСНЫЕ ПАНЕЛИ,,,,,,,,,
"56,100",Генетический паспорт здоровья (мужчина),цельная кровь (ЭДТА),заключение,25,,"60000,00",,,,
"56,105",Генетический паспорт здоровья (женщина),цельная кровь (ЭДТА),заключение,25,,"60000,00",,,,
"56,110",Генетический паспорт здоровья (мальчик),цельная кровь (ЭДТА),заключение,25,,"60000,00",,,,
"56,115",Генетический паспорт здоровья (девочка),цельная кровь (ЭДТА),заключение,25,,"60000,00",,,,
,СЕРДЕЧНО-СОСУДИСТЫЕ ЗАБОЛЕВАНИЯ,,,,,,,,,
"56,120",Артериальная гипертензия,цельная кровь (ЭДТА),заключение,15,,"7800,00",,,,
"56,130",Венозные тромбозы (полная панель),цельная кровь (ЭДТА),заключение,15,,"18700,00",,,,
"56,135","Венозные тромбозы, обусловленные гипергомоцистеинемией",цельная кровь (ЭДТА),заключение,15,,"7500,00",,,,
"56,139","Генетический тест на наследственные тромбофилии. F2 c.*97G>A, F5 c.1601G>A (лейденская мутация)",цельная кровь (ЭДТА),заключение,7,,"3800,00",,,,
"56,140","Венозные тромбозы, обусловленные гиперагрегацией тромбоцитов",цельная кровь (ЭДТА),заключение,15,,"7800,00",,,,
"56,145","Венозные тромбозы, обусловленные плазменными факторами свертывающей системы крови",цельная кровь (ЭДТА),заключение,15,,"7800,00",,,,
"56,150",Риск развития вторичного синдрома удлиненного интервала Q-T при приёме цизаприда,цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,125",Атеросклероз и ишемическая болезнь сердца,цельная кровь (ЭДТА),заключение,15,,"12000,00",,,,
"56,210",Риск развития венозных тромбозов после проведения оперативных вмешательств,цельная кровь (ЭДТА),заключение,15,,"6000,00",,,,
,ЭНДОКРИНОЛОГИЯ И НАРУШЕНИЯ ОБМЕНА ВЕЩЕСТВ,,,,,,,,,
"56,155",Риск развития остеопороза,цельная кровь (ЭДТА),заключение,15,,"11250,00",,,,
"56,160",Риск развития инсулинзависимого сахарного диабета I типа,цельная кровь (ЭДТА),заключение,15,,"7950,00",,,,
"56,165",Риск развития инсулиннезависимого сахарного диабета II типа (полная панель),цельная кровь (ЭДТА),заключение,15,,"12400,00",,,,
"56,170",Риск развития ожирения,цельная кровь (ЭДТА),заключение,15,,"21750,00",,,,
,АКУШЕРСТВО И ГИНЕКОЛОГИЯ,,,,,,,,,
"56,175","Планирование беременности. Риск развития осложнений беременности (бесплодие, невынашивание, гестозы, фето-плацентарная недостаточнось, венозные тромбозы во время беременности, ВПР и хромосомные аномалии плода) и предрасположенности к избыточному набору веса",цельная кровь (ЭДТА),заключение,15,,"45000,00",,,,
"56,180","Подготовка к процедуре ЭКО. Риск развития осложнений беременности (бесплодие, невынашивание, гестозы, фето-плацентарная недостаточнось, венозные тромбозы во время беременности, ВПР и хромосомные аномалии плода), а также риска развития рака молочной железы",цельная кровь (ЭДТА),заключение,15,,"31500,00",,,,
"56,185","Риск развития осложнений при приеме оральных гормональных контрацептивов (полная панель) (венозные тромбозы, избыточный вес, гипергликемия)",цельная кровь (ЭДТА),заключение,15,,"45750,00",,,,
"56,190",Риск развития осложнений при приеме оральных гормональных контрацептивов  (венозные тромбозы),цельная кровь (ЭДТА),заключение,15,,"17200,00",,,,
"56,195","Риск развития осложнений в пострепродуктивном периоде (климакс) (Остеопороз, ожирение)",цельная кровь (ЭДТА),заключение,15,,"32000,00",,,,
"56,200","Риск развития осложнений при применении заместительной гормональной терапии (венозные тромбозы, рак молочной железы и/или яичников)",цельная кровь (ЭДТА),заключение,15,,"24000,00",,,,
"56,205","Риск развития осложнений беременности (невынашивание, гестозы, фето-плацентарная недостаточнось, венозные тромбозы во время беременности, ВПР и хромосомные аномалии плода)",цельная кровь (ЭДТА),заключение,15,,"24750,00",,,,
"56,245",Риск развития рака молочной железы и/или рака яичников,цельная кровь (ЭДТА),заключение,15,,"9000,00",,,,
,ХИРУРГИЯ И ОРТОПЕДИЯ,,,,,,,,,
"56,215","Риск развития осложнений при длительной иммобилизации (венозные тромбозы, остеопороз)",цельная кровь (ЭДТА),заключение,15,,"22500,00",,,,
,ОНКОЛОГИЯ И ХИМИОТЕРАПИЯ,,,,,,,,,
"56,220",Риск развития некоторых онкологических заболеваний под воздействием неблагопритных факторов внешней,цельная кровь (ЭДТА),заключение,15,,"27700,00",,,,
"56,225","Генетические факторы особенностей реакции организма при использовании химиотерапии и половых гормонов (левоноргестрел, мифепристон, тестостерон, эстрадиол, этинилэстрадиол, финастерид)",цельная кровь (ЭДТА),заключение,15,,"22500,00",,,,
"56,230","Генетические факторы особенностей реакции организма при использовании ряда химиотерапевтических препаратов  (анастрозол, циклофосфамид, доцетаксел, эрлотиниб, тирфостин, этопозид, ифосфамид, паклитаксел, тамоксифен, тенипозид, винбластин, виндезин, гефити",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,235",Генетические факторы особенностей реакции организма при использовании химиотерапевтического препарата  Иматиниб,цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,240",Риск развития рака легких под воздействием курения и других неблагоприятных факторов внешней среды,цельная кровь (ЭДТА),заключение,15,,"29000,00",,,,
,ТРАНСПЛАНТОЛОГИЯ,,,,,,,,,
"56,250","Генетические факторы особенностей реакции организма при использовании имуннодепрессантов (циклоспорин, сиролимус, такролимус)",цельная кровь (ЭДТА),заключение,15,,"22500,00",,,,
,ЗДОРОВЫЙ ОБРАЗ ЖИЗНИ,,,,,,,,,
"56,255",Риск развития заболеваний при курении,цельная кровь (ЭДТА),заключение,15,,"15700,00",,,,
"56,260", Риск развития заболеваний при избыточном употреблении кофе,цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,265",Риск развития заболеваний при проживании в экологически неблагоприятных условиях внешней среды (промышленные загрязнения),цельная кровь (ЭДТА),заключение,15,,"15700,00",,,,
,ФАРМАКОЛОГИЯ И ФАРМАКОКИНЕТИКА,,,,,,,,,
"56,270","Генетические факторы организма,  влияющие на расчет дозы варфарина",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,275","Генетические факторы организма,  влияющие на эффективность лечения Иматинибом",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,280","Генетические факторы особенностей реакции организма при использовании ряда химиотерапевтических препаратов (анастрозол, циклофосфамид, доцетаксел, эрлотиниб, тирфостин, этопозид, ифосфамид, паклитаксел, тамоксифен, тенипозид, винбластин, виндезин, гефитин",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,285","Генетические факторы особенностей реакции организма при использовании ряда противогрибковых средств (клотримазол, кетоконазол, итраконазол)",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,290","Генетические факторы особенностей реакции организма при использовании макролидов (кларитромицин, эритромицин)",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,295","Генетические факторы особенностей реакции организма при использовании трициклических антидепрессантов (амитриптилин, кломипрамин, имипрамин) и антидепрессантов — селективных ингибиторов обратного захвата серотонина (циталопрам, эсциталопрам, флуоксетин",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,305","Генетические факторы особенностей реакции организма при использовании ряда опиоидных анальгетикиов (альфентанил, кодеин, метадон, фентанил)",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,310","Генетические факторы особенностей реакции организма при использовании гиполипидемических статинов (аторвастатин, ловастатин, симвастатин)",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,315","Генетические факторы особенностей реакции организма при использовании, блокаторов кальциевых каналов (амлодипин, верпамил, дилтиазем, нифедипин, фелодипин)",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,320","Генетические факторы особенностей реакции организма при использовании, половых гормонов (левоноргестрел, мифепристон, тестостерон, эстрадиол, этинилэстрадиол, финастерид)",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,300","Генетические факторы особенностей реакции организма при использовании антипсихотических препаратов (арипипразол, галоперидол, зипрасидон, рисперидон)",цельная кровь (ЭДТА),заключение,15,,"8400,00",,,,
"56,325",Генетические факторы риска усиления побочных действий лекарств,цельная кровь (ЭДТА),заключение,15,,"4500,00",,,,
,ФИЗКУЛЬТУРА И СПОРТ,,,,,,,,,
"56,350","Фитнес. Генетические особенности организма, влияющие  на развитие ожирения и выбор оптимальных видов",цельная кровь (ЭДТА),заключение,15,,"37500,00",,,,
"56,355","Фитнес. Выявление генетическиех особенностей организма, влияющих  на развитие ожирения",цельная кровь (ЭДТА),заключение,15,,"21750,00",,,,
"56,360","Фитнес. Оценка генетических особенностей организма, влияющих на эффективность силовых нагрузок  при занятии фитнесом",цельная кровь (ЭДТА),заключение,15,,"12700,00",,,,
"56,365","Фитнес. Оценка генетических особенностей организма, влияющих на эффективность нагрузок и выносливость при занятии фитнесом",цельная кровь (ЭДТА),заключение,15,,"9750,00",,,,
"56,370",Фитнес. Выбор оптимальных типов  физических нагрузок,цельная кровь (ЭДТА),заключение,15,,"19500,00",,,,
"56,375","Спорт. Комплексная оценка генетических факторов, способствующих спортивным достижениям",цельная кровь (ЭДТА),заключение,15,,"27000,00",,,,
,ЦИТОГЕНЕТИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,,,,,,,
